City,Country,Climate-related hazards (ORIGINAL),Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Mexico City,Mexico,Increased water demand,Increased water demand,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Loss of green space/green cover,Loss of green space/green cover,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Mass movement,Mass movement,Medium,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Urban flooding,Urban flooding,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Miami,United States of America,Extreme heat,Extreme heat,High,No Data,No Data,No Data,456923,"25.7617, -80.1918 "
Miami,United States of America,Heavy precipitation,Heavy precipitation,High,Medium,Increasing,No Data,456923,"25.7617, -80.1918 "
Miami,United States of America,Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,High,High,Increasing,No Data,456923,"25.7617, -80.1918 "
Miami,United States of America,Infectious disease,Infectious disease,Medium,High,Do not know,No Data,456923,"25.7617, -80.1918 "
Miami,United States of America,Storm,Storm,High,High,Increasing,No Data,456923,"25.7617, -80.1918 "
Milano,Italy,Coastal flooding,Coastal flooding,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Drought,Drought,Medium,Medium Low,Increasing,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Extreme cold,Extreme cold,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Extreme wind,Extreme wind,Medium,Medium High,Do not know,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Low,Medium Low,Do not know,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Heavy precipitation,Heavy precipitation,High,Medium High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Infectious disease,Infectious disease,High,High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Mass movement,Mass movement,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Oceanic events,Oceanic events,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,River flooding,River flooding,High,Medium High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Snow and ice,Snow and ice,Low,Medium Low,Decreasing,Decreasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Storm,Storm,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,No Data,1386285,"45.8026, 9.08635 "
Milano,Italy,Urban flooding,Urban flooding,Medium High,Medium,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Water stress,Water stress,Medium,Medium,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Montreal,Canada,Drought,Drought,Do not know,Medium,Increasing,Do not know,2069849,"45.5087, -73.554 "
Montreal,Canada,Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,2069849,"45.5087, -73.554 "
Montreal,Canada,Heavy precipitation,Heavy precipitation,High,Medium,Increasing,Increasing,2069849,"45.5087, -73.554 "
Montreal,Canada,River flooding,River flooding,Do not know,Medium Low,Do not know,Do not know,2069849,"45.5087, -73.554 "
Mumbai,India,Extreme heat,Extreme heat,Medium High,Medium High,Increasing,Increasing,12875213,"19.0760, 72.8777"
Mumbai,India,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,12875213,"19.0760, 72.8777"
Nairobi,Kenya,Heavy precipitation,Heavy precipitation,High,High,Increasing,Decreasing,4500000,"-1.29206, 36.8219 "
Nairobi,Kenya,River flooding,River flooding,High,High,Increasing,Increasing,4500000,"-1.29206, 36.8219 "
Nairobi,Kenya,Urban flooding,Urban flooding,High,High,Increasing,Increasing,4500000,"-1.29206, 36.8219 "
Nanjing,China,Extreme heat,Extreme heat,Low,Low,No Data,No Data,9319700,"32.0603, 118.797 "
Nanjing,China,Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,Low,Low,No Data,No Data,9319700,"32.0603, 118.797 "
New Orleans,United States of America,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Extreme cold,Extreme cold,Medium Low,Medium High,Do not know,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Heavy precipitation,Heavy precipitation,High,Medium High,Decreasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,High,High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Infectious disease,Infectious disease,Medium,Medium High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Storm,Storm,Medium High,High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Urban flooding,Urban flooding,High,Medium High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New York City,United States of America,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,8804190,"40.7128, -74.0059 "
New York City,United States of America,Extreme heat,Extreme heat,High,High,Increasing,Increasing,8804190,"40.7128, -74.0059 "
New York City,United States of America,Heavy precipitation,Heavy precipitation,Medium High,Medium,Increasing,Increasing,8804190,"40.7128, -74.0059 "
Oslo,Norway,Coastal flooding,Coastal flooding,Medium Low,Medium Low,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Drought,Drought,Medium,Medium,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Medium,Medium High,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Heat stress,Heat stress,Medium Low,Medium,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Mass movement,Mass movement,Medium Low,Medium Low,None,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,River flooding,River flooding,Medium,Medium,Increasing,Increasing,699027,"59.9139, 10.7522 "
Paris,France,Drought,Drought,Medium High,High,Increasing,Increasing,2210875,"48.8566, 2.35222 "
Paris,France,Extreme heat,Extreme heat,High,High,Increasing,Increasing,2210875,"48.8566, 2.35222 "
Paris,France,Extreme wind,Extreme wind,Low,Medium Low,Do not know,Do not know,2210875,"48.8566, 2.35222 "
Paris,France,Heavy precipitation,Heavy precipitation,Medium Low,Medium High,Do not know,Decreasing,2210875,"48.8566, 2.35222 "
Paris,France,Infectious disease,Infectious disease,Low,Low,Increasing,Increasing,2210875,"48.8566, 2.35222 "
Paris,France,River flooding,River flooding,Medium,High,Do not know,Increasing,2210875,"48.8566, 2.35222 "
Philadelphia,United States of America,Coastal flooding,Coastal flooding,Medium Low,Medium High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Philadelphia,United States of America,Extreme heat,Extreme heat,Medium High,High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Philadelphia,United States of America,River flooding,River flooding,Medium High,High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Philadelphia,United States of America,Urban flooding,Urban flooding,High,Medium High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Phoenix,United States of America,Drought,Drought,High,Medium Low,Increasing,Increasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Heat stress,Heat stress,High,Medium,Increasing,Decreasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Infectious disease,Infectious disease,Low,Low,Increasing,Increasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,1680992,"33.4484, -112.074 "
"Portland, OR",United States of America,Extreme heat,Extreme heat,High,High,Increasing,Increasing,829560,"45.52, -122.682 "
"Portland, OR",United States of America,Mass movement,Mass movement,High,Medium,Increasing,Increasing,829560,"45.52, -122.682 "
"Portland, OR",United States of America,Urban flooding,Urban flooding,High,Medium High,Increasing,Increasing,829560,"45.52, -122.682 "
Qingdao,China,Storm,Storm,Medium,Medium High,Increasing,No Data,0,"36.1105, 120.356 "
Quezon City,Philippines,Drought,Drought,High,High,Increasing,Increasing,2960048,"15.6835, 120.862 "
Quezon City,Philippines,Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,High,High,Increasing,Increasing,2960048,"15.6835, 120.862 "
Quezon City,Philippines,Urban flooding,Urban flooding,High,High,Increasing,Increasing,2960048,"15.6835, 120.862 "
Quito,Ecuador,Extreme heat,Extreme heat,Medium Low,Medium Low,Increasing,Increasing,2831122,"-0.2333, -78.5167 "
Quito,Ecuador,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,High,Increasing,None,2831122,"-0.2333, -78.5167 "
Quito,Ecuador,Heavy precipitation,Heavy precipitation,Medium,High,Increasing,Increasing,2831122,"-0.2333, -78.5167 "
Quito,Ecuador,Mass movement,Mass movement,Medium High,Medium High,None,Increasing,2831122,"-0.2333, -78.5167 "
Quito,Ecuador,Urban flooding,Urban flooding,Medium,Medium,Increasing,Increasing,2831122,"-0.2333, -78.5167 "
Rio de Janeiro,Brazil,Air pollution,Air pollution,High,Do not know,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Coastal flooding,Coastal flooding,High,Medium,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Drought,Drought,Medium,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Extreme heat,Extreme heat,High,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Extreme wind,Extreme wind,High,Medium,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Heat stress,Heat stress,High,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Heavy precipitation,Heavy precipitation,High,High,Increasing,Decreasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Infectious disease,Infectious disease,High,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Mass movement,Mass movement,High,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,River flooding,River flooding,High,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Rio de Janeiro,Brazil,Urban flooding,Urban flooding,High,High,Increasing,Increasing,6775561,"-22.9054, -43.5614 "
Roma,Italy,Drought,Drought,Medium High,Medium High,Do not know,No Data,2758454,"41.53, 12.2858 "
Roma,Italy,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,2758454,"41.53, 12.2858 "
Roma,Italy,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Medium High,Medium,Do not know,Increasing,2758454,"41.53, 12.2858 "
Roma,Italy,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,No Data,2758454,"41.53, 12.2858 "
Roma,Italy,Mass movement,Mass movement,Medium High,Medium,Do not know,No Data,2758454,"41.53, 12.2858 "
Roma,Italy,River flooding,River flooding,High,High,Do not know,No Data,2758454,"41.53, 12.2858 "
Rotterdam,Netherlands,Coastal flooding,Coastal flooding,Medium Low,High,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Drought,Drought,Medium,Medium,Do not know,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Heat stress,Heat stress,Medium,Medium Low,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Heavy precipitation,Heavy precipitation,Medium High,Medium,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Increased water demand,Increased water demand,Medium Low,Low,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,River flooding,River flooding,Medium Low,High,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Storm,Storm,Medium High,High,Increasing,Do not know,651269,"51.9164, 4.45093 "
Salvador,Brazil,Coastal flooding,Coastal flooding,Not expected to impact the jurisdiction within the next 5 years,Low,Increasing,Increasing,2900319,"-12.973, -38.5023 "
Salvador,Brazil,Drought,Drought,Low,Low,Increasing,Increasing,2900319,"-12.973, -38.5023 "
Salvador,Brazil,Extreme heat,Extreme heat,Medium,Medium Low,Increasing,Increasing,2900319,"-12.973, -38.5023 "
Salvador,Brazil,Heavy precipitation,Heavy precipitation,High,Medium High,Increasing,Decreasing,2900319,"-12.973, -38.5023 "
Salvador,Brazil,Infectious disease,Infectious disease,Medium High,High,Increasing,Increasing,2900319,"-12.973, -38.5023 "
Salvador,Brazil,Mass movement,Mass movement,Medium High,Medium High,Increasing,Decreasing,2900319,"-12.973, -38.5023 "
Salvador,Brazil,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,2900319,"-12.973, -38.5023 "
San Francisco,United States of America,Coastal flooding,Coastal flooding,Medium High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Drought,Drought,Medium High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Heavy precipitation,Heavy precipitation,Medium High,Medium,Increasing,Do not know,873965,"37.7749, -122.419 "
San Francisco,United States of America,Other coastal events,Other coastal events,Low,Low,Increasing,Increasing,873965,"37.7749, -122.419 "
Santiago,Chile,Drought,Drought,High,High,Increasing,Increasing,8310984,"-33.4489, -70.6693 "
Santiago,Chile,Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,8310984,"-33.4489, -70.6693 "
Santiago,Chile,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,High,Increasing,Increasing,8310984,"-33.4489, -70.6693 "
Santiago,Chile,Mass movement,Mass movement,Medium,Medium,Decreasing,Decreasing,8310984,"-33.4489, -70.6693 "
Santiago,Chile,Urban flooding,Urban flooding,Medium,Medium Low,Decreasing,Decreasing,8310984,"-33.4489, -70.6693 "
Sao Paulo,Brazil,Drought,Drought,Medium High,Medium,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Extreme wind,Extreme wind,Medium,Medium,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Mass movement,Mass movement,Medium High,Medium High,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,River flooding,River flooding,Medium High,Medium High,Increasing,Increasing,12330000,"-23.5595, -46.7382 "
Seattle,United States of America,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,737015,"47.6062, -122.332 "
Seattle,United States of America,Extreme heat,Extreme heat,Medium,High,Increasing,Increasing,737015,"47.6062, -122.332 "
Seattle,United States of America,Urban flooding,Urban flooding,High,Medium High,Increasing,Increasing,737015,"47.6062, -122.332 "
Seoul,Republic of Korea,Extreme heat,Extreme heat,High,High,Increasing,Increasing,9736027,"37.5665, 126.978 "
Seoul,Republic of Korea,Loss of green space/green cover,Loss of green space/green cover,Medium,Medium,Increasing,Increasing,9736027,"37.5665, 126.978 "
Seoul,Republic of Korea,Urban flooding,Urban flooding,Medium,Medium,Increasing,Increasing,9736027,"37.5665, 126.978 "
Singapore,Singapore,Drought,Drought,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Increasing,No Data,5453566,"1.35208, 103.82 "
Singapore,Singapore,Extreme heat,Extreme heat,Medium High,Medium High,Increasing,No Data,5453566,"1.35208, 103.82 "
Singapore,Singapore,Infectious disease,Infectious disease,Medium High,Medium High,Increasing,No Data,5453566,"1.35208, 103.82 "
Singapore,Singapore,Storm,Storm,Medium High,Medium,None,No Data,5453566,"1.35208, 103.82 "
Singapore,Singapore,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,No Data,5453566,"1.35208, 103.82 "
Stockholm,Sweden,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,978770,"59.3293, 18.0686 "
Stockholm,Sweden,Heavy precipitation,Heavy precipitation,High,High,Increasing,Increasing,978770,"59.3293, 18.0686 "
Stockholm,Sweden,Urban flooding,Urban flooding,Medium,Medium,Increasing,Increasing,978770,"59.3293, 18.0686 "
Sydney,Australia,Drought,Drought,Medium High,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Extreme heat,Extreme heat,Medium High,Medium,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Extreme wind,Extreme wind,Medium,High,Increasing,Do not know,267014,"-33.8675, 151.207 "
Sydney,Australia,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Medium High,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Heat stress,Heat stress,High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Heavy precipitation,Heavy precipitation,Medium,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Oceanic events,Oceanic events,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Storm,Storm,Medium High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Urban flooding,Urban flooding,Medium High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Tel Aviv-Yafo,Israel,Coastal flooding,Coastal flooding,Medium,Medium,Increasing,No Data,463810,"32.0816, 34.7823 "
Tel Aviv-Yafo,Israel,Drought,Drought,Medium,Medium,Increasing,No Data,463810,"32.0816, 34.7823 "
Tel Aviv-Yafo,Israel,Extreme heat,Extreme heat,High,High,Increasing,Increasing,463810,"32.0816, 34.7823 "
Tel Aviv-Yafo,Israel,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,463810,"32.0816, 34.7823 "
Toronto,Canada,Coastal flooding,Coastal flooding,Medium High,Medium Low,Increasing,Increasing,2794356,"43.6532, -79.3832 "
Toronto,Canada,Extreme cold,Extreme cold,High,Medium High,Decreasing,Decreasing,2794356,"43.6532, -79.3832 "
Toronto,Canada,Extreme heat,Extreme heat,High,High,Increasing,Increasing,2794356,"43.6532, -79.3832 "
Toronto,Canada,Heavy precipitation,Heavy precipitation,High,High,Increasing,Increasing,2794356,"43.6532, -79.3832 "
Toronto,Canada,Infectious disease,Infectious disease,High,Medium,Increasing,Increasing,2794356,"43.6532, -79.3832 "
Toronto,Canada,River flooding,River flooding,Medium,Medium,Increasing,Increasing,2794356,"43.6532, -79.3832 "
Toronto,Canada,Snow and ice,Snow and ice,Medium High,Medium,Do not know,Do not know,2794356,"43.6532, -79.3832 "
Toronto,Canada,Urban flooding,Urban flooding,Medium High,High,Increasing,Increasing,2794356,"43.6532, -79.3832 "
Tshwane,South Africa,Extreme heat,Extreme heat,High,Medium High,Increasing,Increasing,3597000,"-25.7461, 28.1881 "
Tshwane,South Africa,Heat stress,Heat stress,High,High,Increasing,No Data,3597000,"-25.7461, 28.1881 "
Tshwane,South Africa,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,3597000,"-25.7461, 28.1881 "
Vancouver,Canada,Coastal flooding,Coastal flooding,Low,High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Drought,Drought,Medium Low,Medium Low,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Extreme heat,Extreme heat,Medium High,Medium High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Extreme wind,Extreme wind,Low,Medium,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Heavy precipitation,Heavy precipitation,High,Medium Low,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Infectious disease,Infectious disease,Medium Low,Do not know,Do not know,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Storm,Storm,Medium Low,High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Urban flooding,Urban flooding,Medium,Medium,Increasing,Increasing,654000,"49.2612, -123.114 "
Warsaw,Poland,Drought,Drought,Medium,Medium,Increasing,Increasing,1863056,"52.2297, 21.0122 "
Warsaw,Poland,Extreme heat,Extreme heat,Medium,Medium,Increasing,Increasing,1863056,"52.2297, 21.0122 "
Warsaw,Poland,Heavy precipitation,Heavy precipitation,Medium,High,Increasing,Increasing,1863056,"52.2297, 21.0122 "
Warsaw,Poland,River flooding,River flooding,High,High,Increasing,Decreasing,1863056,"52.2297, 21.0122 "
"Washington, DC",United States of America,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Extreme heat,Extreme heat,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Heavy precipitation,Heavy precipitation,High,Medium,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Hurricanes/cyclones/typhoons,Hurricanes/cyclones/typhoons,Medium,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,River flooding,River flooding,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Urban flooding,Urban flooding,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
Wuhan,China,Heavy precipitation,Heavy precipitation,Medium,Medium,Increasing,Increasing,13648900,"30.6435, 114.325 "
Yokohama,Japan,Extreme heat,Extreme heat,Do not know,Do not know,Do not know,Do not know,3773214,"35.4437, 139.638 "
Yokohama,Japan,Heavy precipitation,Heavy precipitation,Do not know,Do not know,Increasing,Increasing,3773214,"35.4437, 139.638 "
Yokohama,Japan,River flooding,River flooding,Do not know,Do not know,Do not know,Do not know,3773214,"35.4437, 139.638 "
